time;random
0:37.170467;1
0:37.203833;1
0:37.237200;1
0:37.270567;1
0:37.303933;1
0:37.337300;1
0:37.370667;1
0:37.404033;1
0:37.437400;1
0:37.470767;1
0:37.504133;1
0:37.537500;1
0:37.570867;1
0:37.604233;1
0:37.637600;1
0:37.670967;1
0:37.704333;1
0:37.737700;1
0:37.771067;1
0:37.804433;1
0:37.837800;1
0:37.871167;1
0:37.904533;1
0:37.937900;1
0:37.971267;1
0:38.004633;1
0:38.038000;1
0:38.071367;1
0:38.104733;1
0:38.138100;1
0:38.171467;1
0:38.204833;1
0:38.238200;1
0:38.271567;1
0:38.304933;1
0:38.338300;1
0:38.371667;1
0:38.405033;1
0:38.438400;1
0:38.471767;1
0:38.505133;1
0:38.538500;1
0:38.571867;1
0:38.605233;1
0:38.638600;1
0:38.671967;1
0:38.705333;1
0:38.738700;1
0:38.772067;1
0:38.805433;1
0:38.838800;1
0:38.872167;1
0:38.905533;1
0:38.938900;1
0:38.972267;1
0:39.005633;1
0:39.039000;1
0:39.072367;1
0:39.105733;1
0:39.139100;1
0:39.172467;1
0:39.205833;1
0:39.239200;1
0:39.272567;1
0:39.305933;1
0:39.339300;1
0:39.372667;1
0:39.406033;1
0:39.439400;1
0:39.472767;1
0:39.506133;1
0:39.539500;1
0:39.572867;1
0:39.606233;1
0:39.639600;1
0:39.672967;1
0:39.706333;1
0:39.739700;1
0:39.773067;1
0:39.806433;1
0:39.839800;1
0:39.873167;1
0:39.906533;1
0:39.939900;1
0:39.973267;1
0:40.006633;1
0:40.040000;1
0:40.073367;1
0:40.106733;1
0:40.140100;1
0:40.173467;1
0:40.206833;1
0:40.240200;1
0:40.273567;1
0:40.306933;1
0:40.340300;1
0:40.373667;1
0:40.407033;1
0:40.440400;1
0:40.473767;1
0:40.507133;1
0:40.540500;1
0:40.573867;1
0:40.607233;1
0:40.640600;1
0:40.673967;1
0:40.707333;1
0:40.740700;1
0:40.774067;1
0:40.807433;1
0:40.840800;1
0:40.874167;1
0:40.907533;1
0:40.940900;1
0:40.974267;1
0:41.007633;1
0:41.041000;1
0:41.074367;1
0:41.107733;1
0:41.141100;1
0:41.174467;1
0:41.207833;1
0:41.241200;1
0:41.274567;1
0:41.307933;1
0:41.341300;1
0:41.374667;1
0:41.408033;1
0:41.441400;1
0:41.474767;1
0:41.508133;1
0:41.541500;1
0:41.574867;1
0:41.608233;1
0:41.641600;1
0:41.674967;1
0:41.708333;1
0:41.741700;1
0:41.875167;1
0:41.908533;1
0:41.941900;1
0:41.975267;1
0:42.008633;1
0:42.042000;1
0:42.075367;1
0:42.108733;1
0:42.142100;1
0:42.175467;1
0:42.208833;1
0:42.242200;1
0:42.275567;1
0:42.308933;1
0:42.342300;1
0:42.375667;1
0:42.409033;1
0:42.442400;1
0:42.475767;1
0:42.509133;1
0:42.542500;1
0:42.575867;1
0:42.609233;1
0:42.642600;1
0:42.675967;1
0:42.709333;1
0:42.742700;1
0:42.776067;1
0:42.809433;1
0:42.842800;1
0:42.876167;1
0:42.909533;1
0:42.942900;1
0:42.976267;1
0:43.009633;1
0:43.043000;1
0:43.076367;1
0:43.109733;1
0:43.143100;1
0:43.176467;1
0:43.209833;1
0:43.243200;1
0:43.276567;1
0:43.309933;1
0:43.343300;1
0:43.376667;1
0:43.410033;1
0:43.443400;1
0:43.476767;1
0:43.510133;1
0:43.543500;1
0:43.576867;1
0:43.610233;1
0:43.643600;1
0:43.676967;1
0:43.710333;1
0:43.743700;1
0:43.777067;1
0:43.810433;1
0:43.843800;1
0:43.877167;1
0:43.910533;1
0:43.943900;1
0:43.977267;1
0:44.010633;1
0:44.044000;1
0:44.077367;1
0:44.110733;1
0:44.144100;1
0:44.177467;1
0:44.210833;1
0:44.244200;1
0:44.277567;1
0:44.310933;1
0:44.344300;1
0:44.377667;1
0:44.411033;1
0:44.444400;1
0:44.477767;1
0:44.511133;1
0:44.544500;1
0:44.577867;1
0:44.611233;1
0:44.644600;1
0:44.677967;1
0:44.711333;1
0:44.744700;1
0:44.778067;1
0:44.811433;1
0:44.844800;1
0:44.878167;1
0:44.911533;1
0:44.944900;1
0:44.978267;1
0:45.011633;1
0:45.045000;1
0:45.078367;1
0:45.111733;1
0:45.145100;1
0:45.178467;1
0:45.211833;1
0:45.245200;1
0:45.278567;1
0:45.311933;1
0:45.345300;1
0:45.378667;1
0:45.412033;1
0:45.445400;1
0:45.478767;1
0:45.512133;1
0:45.545500;1
0:45.578867;1
0:45.612233;1
0:45.645600;1
0:45.678967;1
0:45.712333;1
0:45.745700;1
0:45.779067;1
0:45.812433;1
0:45.845800;1
0:45.879167;1
0:45.912533;1
0:45.945900;1
0:45.979267;1
0:46.012633;1
0:46.046000;1
0:46.079367;1
0:46.112733;1
0:46.146100;1
0:46.179467;1
0:46.212833;1
0:46.246200;1
0:46.279567;1
0:46.312933;1
0:46.346300;1
0:46.379667;1
0:46.413033;1
0:46.446400;1
0:46.479767;1
0:46.513133;1
0:46.546500;1
0:46.579867;1
0:46.613233;1
0:46.646600;1
0:46.679967;1
0:46.713333;1
0:46.746700;1
0:46.780067;1
0:46.813433;1
0:46.846800;1
0:46.880167;1
0:46.913533;1
0:46.946900;1
0:46.980267;1
0:47.013633;1
0:47.047000;1
0:47.080367;1
0:47.113733;1
0:47.147100;1
0:47.180467;1
0:47.213833;1
0:47.247200;1
0:47.280567;1
0:47.313933;1
0:47.347300;1
